date,host,algo,numproc,msgsize,hostTime,hostMem,simTime
2015-02-20,graphite-1-0,mvapich2,872,57395,398.19,42837956k,14.425591
2015-02-20,graphite-1-0,ompi,872,57395,407.80,42688004k,15.157155
2015-02-20,graphite-1-0,mpich,872,57395,393.63,42688000k,15.627247
2015-02-20,graphite-1-0,impi,872,57395,422.42,42848232k,13.387725
2015-02-20,graphite-1-0,2dmesh,288,22065,34.30,11782464k,1.413912
2015-02-20,graphite-1-0,3dmesh,288,22065,64.08,34264844k,2.802411
2015-02-20,graphite-1-0,basic_linear,288,22065,14.51,3690880k,0.239390
2015-02-20,graphite-1-0,bruck,288,22065,13.97,3690920k,0.239390
2015-02-20,parapluie-28-0,2dmesh,34,41016,2.15,292848k,0.288297
2015-02-20,parapluie-28-0,basic_linear,34,41016,1.12,102108k,0.014712
2015-02-20,parapluie-28-0,bruck,34,41016,1.11,102108k,0.014712
2015-02-20,parapluie-28-0,rdb,34,41016,3.23,1548296k,0.951427
2015-02-20,parapluie-28-0,ring,34,41016,1.05,56964k,0.023501
2015-02-20,parapluie-28-0,ring_light_barrier,34,41016,1.07,57224k,0.025582
2015-02-20,parapluie-28-0,ring_mpi_barrier,34,41016,1.12,57224k,0.031066
2015-02-20,parapluie-28-0,ring_one_barrier,34,41016,1.09,57228k,0.037109
2015-02-20,parapluie-28-0,mvapich2_scatter_dest,34,41016,1.07,61188k,0.016909
2015-02-20,parapluie-28-0,mvapich2,34,41016,1.07,61452k,0.016909
2015-02-20,parapluie-28-0,ompi,34,41016,1.05,56964k,0.023501
2015-02-20,parapluie-28-0,mpich,34,41016,1.04,56964k,0.023501
2015-02-20,parapluie-28-0,impi,34,41016,1.15,61452k,0.017931
2015-02-20,parapluie-28-0,2dmesh,305,19733,202.37,30950680k,4.524745
2015-02-20,parapluie-28-0,basic_linear,305,19733,27.12,3716760k,0.327759
2015-02-20,parapluie-28-0,bruck,305,19733,26.87,3716704k,0.327759
2015-02-21,parapide-18-0,basic_linear,173,27087,4.60,1629068k,0.049861
2015-02-21,parapide-18-0,bruck,173,27087,4.61,1629064k,0.049861
2015-02-22,graphene-9-0,2dmesh,39,143414,2.11,1063844k,0.890736
2015-02-22,graphene-9-0,basic_linear,39,143414,0.92,431908k,0.058706
2015-02-22,graphene-9-0,bruck,39,143414,0.87,431908k,0.058706
2015-02-22,graphene-9-0,rdb,39,143414,4.72,7574692k,4.147471
2015-02-22,graphene-9-0,ring,39,143414,0.85,228100k,0.079998
2015-02-22,graphene-9-0,ring_light_barrier,39,143414,0.83,228368k,0.082405
2015-02-22,graphene-9-0,ring_mpi_barrier,39,143414,0.90,228428k,0.088881
2015-02-22,graphene-9-0,ring_one_barrier,39,143414,0.84,228164k,0.080258
2015-02-22,graphene-9-0,mvapich2_scatter_dest,39,143414,0.83,244728k,0.063885
2015-02-22,graphene-9-0,mvapich2,39,143414,0.83,244728k,0.063885
2015-02-22,graphene-9-0,ompi,39,143414,0.81,228100k,0.079998
2015-02-22,graphene-9-0,mpich,39,143414,0.81,228100k,0.079998
2015-02-22,graphene-9-0,impi,39,143414,0.84,244764k,0.064933
2015-02-22,graphene-9-0,2dmesh,78,75709,4.21,2351748k,0.938655
2015-02-22,graphene-9-0,basic_linear,78,75709,1.82,911428k,0.062758
2015-02-22,graphene-9-0,bruck,78,75709,1.78,911428k,0.062758
2015-02-22,graphene-90-0,2dmesh,520,6343,29.52,14148928k,1.058072
2015-02-22,graphene-90-0,basic_linear,520,6343,50.05,3739644k,0.567501
2015-02-22,graphene-90-0,bruck,520,6343,51.65,3739436k,0.567501
2015-02-23,barbecue-0,basic_linear,842,30458,709.51,43182532k,6.249583
2015-02-23,barbecue-0,bruck,842,30458,493.99,43191248k,6.249583
2015-02-23,barbecue-0,ring,842,30458,422.46,21134456k,7.413825
2015-02-23,barbecue-0,ring_light_barrier,842,30458,1254.20,21134460k,6.274159
2015-02-23,barbecue-0,ring_mpi_barrier,842,30458,311.66,21134840k,6.531668
2015-02-23,barbecue-0,ring_one_barrier,842,30458,353.04,21134456k,7.831798
2015-02-23,barbecue-0,mvapich2_scatter_dest,842,30458,376.31,21212864k,7.288994
2015-02-23,barbecue-0,mvapich2,842,30458,378.86,21213392k,7.421576
2015-02-23,barbecue-0,ompi,842,30458,397.34,21134456k,7.470292
2015-02-23,barbecue-0,mpich,842,30458,723.26,43183340k,6.249583
2015-02-23,barbecue-0,impi,842,30458,387.10,21222116k,7.084765
2015-02-23,barbecue-0,2dmesh,60,1124257,52.85,17982824k,8.165052
2015-02-23,barbecue-0,basic_linear,60,1124257,4.04,3966484k,0.707996
2015-02-23,barbecue-0,bruck,60,1124257,3.98,3966484k,0.707996
2015-02-23,barbecue-0,ring,60,1124257,3.88,3962260k,0.734863
2015-02-23,barbecue-0,ring_light_barrier,60,1124257,3.92,3962256k,0.738636
2015-02-23,barbecue-0,ring_mpi_barrier,60,1124257,4.04,3962256k,0.750284
